idx,d0,d1,d2,maqaf,paseq,break
11.1.5,אחת,אֶחָת,אֶחָ֑ת,,False,
11.1.6,ודברים,וּדְבָרִים,וּדְבָרִ֖ים,,False,
11.1.7,אחדים,אֲחָדִים׃,אֲחָדִֽים׃,,False,
11.2.1,ויהי,וַיְהִי,וַֽיְהִ֖י,,False,
11.2.2,בנסעם,בְּנָסְעָם,בְּנָסְעָ֣ם,,False,
11.2.3,מקדם,מִקֶּדֶם,מִקֶּ֑דֶם,,False,
11.2.4,וימצאו,וַיִּמְצְאוּ,וַֽיִּמְצְא֥וּ,,False,
11.2.5,בקעה,בִקְעָה,בִקְעָ֛ה,,False,
11.2.6,בארץ,בְּאֶרֶץ,בְּאֶ֥רֶץ,,False,
11.2.7,שנער,שִׁנְעָר,שִׁנְעָ֖ר,,False,
11.2.8,וישבו,וַיֵּשְׁבוּ,וַיֵּ֥שְׁבוּ,,False,
11.2.9,שם,שָׁם׃,שָֽׁם׃,,False,
11.3.1,ויאמרו,וַיֹּאמְרוּ,וַיֹּאמְר֞וּ,,False,
11.3.2,איש,אִישׁ,אִ֣ישׁ,,False,
11.3.3,אל,אֶל,אֶל,"(1, 2)",False,
11.3.4,רעהו,רֵעֵהוּ,רֵעֵ֗הוּ,"(2, 2)",False,
11.3.5,הבה,הָבָה,הָ֚בָה,,False,
11.3.6,נלבנה,נִלְבְּנָה,נִלְבְּנָ֣ה,,False,
11.3.7,לבנים,לְבֵנִים,לְבֵנִ֔ים,,False,
11.3.8,ונשרפה,וְנִשְׂרְפָה,וְנִשְׂרְפָ֖ה,,False,
11.3.9,לשרפה,לִשְׂרֵפָה,לִשְׂרֵפָ֑ה,,False,
11.3.10,ותהי,וַתְּהִי,וַתְּהִ֨י,,False,
11.3.11,להם,לָהֶם,לָהֶ֤ם,,False,
11.3.12,הלבנה,הַלְּבֵנָה,הַלְּבֵנָה֙,,False,
11.3.13,לאבן,לְאָבֶן,לְאָ֔בֶן,,False,
11.3.14,והחמר,וְהַחֵמָר,וְהַ֣חֵמָ֔ר,,False,
11.3.15,היה,הָיָה,הָיָ֥ה,,False,
11.3.16,להם,לָהֶם,לָהֶ֖ם,,False,
11.3.17,לחמר,לַחֹמֶר׃,לַחֹֽמֶר׃,,False,
11.4.1,ויאמרו,וַיֹּאמְרוּ,וַיֹּאמְר֞וּ,,False,
11.4.2,הבה,הָבָה,הָ֣בָה,,True,
11.4.3,נבנה,נִבְנֶה,נִבְנֶה,"(1, 2)",False,
11.4.4,לנו,לָּנוּ,לָּ֣נוּ,"(2, 2)",False,
11.4.5,עיר,עִיר,עִ֗יר,,False,
11.4.6,ומגדל,וּמִגְדָּל,וּמִגְדָּל֙,,False,
11.4.7,וראשו,וְרֹאשׁוֹ,וְרֹאשׁ֣וֹ,,False,
11.4.8,בשמים,בַשָּׁמַיִם,בַשָּׁמַ֔יִם,,False,
11.4.9,ונעשה,וְנַעֲשֶׂה,וְנַֽעֲשֶׂה,"(1, 2)",False,
11.4.10,לנו,לָּנוּ,לָּ֖נוּ,"(2, 2)",False,
11.4.11,שם,שֵׁם,שֵׁ֑ם,,False,
11.4.12,פן,פֶּן,פֶּן,"(1, 2)",False,
11.4.13,נפוץ,נָפוּץ,נָפ֖וּץ,"(2, 2)",False,
11.4.14,על,עַל,עַל,"(1, 2)",False,
11.4.15,פני,פְּנֵי,פְּנֵ֥י,"(2, 2)",False,
11.4.16,כל,כָל,כָל,"(1, 2)",False,
11.4.17,הארץ,הָאָרֶץ׃,הָאָֽרֶץ׃,"(2, 2)",False,
11.5.1,וירד,וַיֵּרֶד,וַיֵּ֣רֶד,,False,
11.5.2,יהוה,יְהוָה,יְהוָ֔ה,,False,
11.5.3,לראת,לִרְאֹת,לִרְאֹ֥ת,,False,
11.5.4,את,אֶת,אֶת,"(1, 2)",False,
11.5.5,העיר,הָעִיר,הָעִ֖יר,"(2, 2)",False,
11.5.6,ואת,וְאֶת,וְאֶת,"(1, 2)",False,
11.5.7,המגדל,הַמִּגְדָּל,הַמִּגְדָּ֑ל,"(2, 2)",False,
11.5.8,אשר,אֲשֶׁר,אֲשֶׁ֥ר,,False,
11.5.9,בנו,בָּנוּ,בָּנ֖וּ,,False,
11.5.10,בני,בְּנֵי,בְּנֵ֥י,,False,
11.5.11,האדם,הָאָדָם׃,הָאָדָֽם׃,,False,
11.6.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
11.6.2,יהוה,יְהוָה,יְהוָ֗ה,,False,
11.6.3,הן,הֵן,הֵ֣ן,,False,
11.6.4,עם,עַם,עַ֤ם,,False,
11.6.5,אחד,אֶחָד,אֶחָד֙,,False,
11.6.6,ושפה,וְשָׂפָה,וְשָׂפָ֤ה,,False,
11.6.7,אחת,אַחַת,אַחַת֙,,False,
11.6.8,לכלם,לְכֻלָּם,לְכֻלָּ֔ם,,False,
11.6.9,וזה,וְזֶה,וְזֶ֖ה,,False,
11.6.10,החלם,הַחִלָּם,הַחִלָּ֣ם,,False,
11.6.11,לעשות,לַעֲשׂוֹת,לַעֲשׂ֑וֹת,,False,
11.6.12,ועתה,וְעַתָּה,וְעַתָּה֙,,False,
11.6.13,לא,לֹא,לֹֽא,"(1, 2)",False,
11.6.14,יבצר,יִבָּצֵר,יִבָּצֵ֣ר,"(2, 2)",False,
11.6.15,מהם,מֵהֶם,מֵהֶ֔ם,,False,
11.6.16,כל,כֹּל,כֹּ֛ל,,False,
11.6.17,אשר,אֲשֶׁר,אֲשֶׁ֥ר,,False,
11.6.18,יזמו,יָזְמוּ,יָזְמ֖וּ,,False,
11.6.19,לעשות,לַעֲשׂוֹת׃,לַֽעֲשֽׂוֹת׃,,False,
11.7.1,הבה,הָבָה,הָ֚בָה,,False,
11.7.2,נרדה,נֵרְדָה,נֵֽרְדָ֔ה,,False,
11.7.3,ונבלה,וְנָבְלָה,וְנָבְלָ֥ה,,False,
11.7.4,שם,שָׁם,שָׁ֖ם,,False,
11.7.5,שפתם,שְׂפָתָם,שְׂפָתָ֑ם,,False,
11.7.6,אשר,אֲשֶׁר,אֲשֶׁר֙,,False,
11.7.7,לא,לֹא,לֹ֣א,,False,
11.7.8,ישמעו,יִשְׁמְעוּ,יִשְׁמְע֔וּ,,False,
11.7.9,איש,אִישׁ,אִ֖ישׁ,,False,
11.7.10,שפת,שְׂפַת,שְׂפַ֥ת,,False,
11.7.11,רעהו,רֵעֵהוּ׃,רֵעֵֽהוּ׃,,False,
11.8.1,ויפץ,וַיָּפֶץ,וַיָּ֨פֶץ,,False,
11.8.2,יהוה,יְהוָה,יְהוָ֥ה,,False,
11.8.3,אתם,אֹתָם,אֹתָ֛ם,,False,
11.8.4,משם,מִשָּׁם,מִשָּׁ֖ם,,False,
11.8.5,על,עַל,עַל,"(1, 2)",False,
11.8.6,פני,פְּנֵי,פְּנֵ֣י,"(2, 2)",False,
11.8.7,כל,כָל,כָל,"(1, 2)",False,
11.8.8,הארץ,הָאָרֶץ,הָאָ֑רֶץ,"(2, 2)",False,
11.8.9,ויחדלו,וַיַּחְדְּלוּ,וַֽיַּחְדְּל֖וּ,,False,
11.8.10,לבנת,לִבְנֹת,לִבְנֹ֥ת,,False,
11.8.11,העיר,הָעִיר׃,הָעִֽיר׃,,False,
11.9.1,על,עַל,עַל,"(1, 2)",False,
11.9.2,כן,כֵּן,כֵּ֞ן,"(2, 2)",False,
11.9.3,קרא,קָרָא,קָרָ֤א,,False,
11.9.4,שמה,שְׁמָהּ,שְׁמָהּ֙,,False,
11.9.5,בבל,בָּבֶל,בָּבֶ֔ל,,False,
11.9.6,כי,כִּי,כִּי,"(1, 2)",False,
11.9.7,שם,שָׁם,שָׁ֛ם,"(2, 2)",False,
11.9.8,בלל,בָּלַל,בָּלַ֥ל,,False,
11.9.9,יהוה,יְהוָה,יְהוָ֖ה,,False,
11.9.10,שפת,שְׂפַת,שְׂפַ֣ת,,False,
11.9.11,כל,כָּל,כָּל,"(1, 2)",False,
11.9.12,הארץ,הָאָרֶץ,הָאָ֑רֶץ,"(2, 2)",False,
11.9.13,ומשם,וּמִשָּׁם,וּמִשָּׁם֙,,False,
11.9.14,הפיצם,הֱפִיצָם,הֱפִיצָ֣ם,,False,
11.9.15,יהוה,יְהוָה,יְהוָ֔ה,,False,
11.9.16,על,עַל,עַל,"(1, 2)",False,
11.9.17,פני,פְּנֵי,פְּנֵ֖י,"(2, 2)",False,
11.9.18,כל,כָּל,כָּל,"(1, 2)",False,
11.9.19,הארץ,הָאָרֶץ׃,הָאָֽרֶץ׃,"(2, 2)",False,(פ)
11.10.1,אלה,אֵלֶּה,אֵ֚לֶּה,,False,
11.10.2,תולדת,תּוֹלְדֹת,תּוֹלְדֹ֣ת,,False,
11.10.3,שם,שֵׁם,שֵׁ֔ם,,False,
11.10.4,שם,שֵׁם,שֵׁ֚ם,,False,
11.10.5,בן,בֶּן,בֶּן,"(1, 2)",False,
11.10.6,מאת,מְאַת,מְאַ֣ת,"(2, 2)",False,
11.10.7,שנה,שָׁנָה,שָׁנָ֔ה,,False,
11.10.8,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.10.9,את,אֶת,אֶת,"(1, 2)",False,
11.10.10,ארפכשד,אַרְפַּכְשָׁד,אַרְפַּכְשָׁ֑ד,"(2, 2)",False,
11.10.11,שנתים,שְׁנָתַיִם,שְׁנָתַ֖יִם,,False,
11.10.12,אחר,אַחַר,אַחַ֥ר,,False,
11.10.13,המבול,הַמַּבּוּל׃,הַמַּבּֽוּל׃,,False,
11.11.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.11.2,שם,שֵׁם,שֵׁ֗ם,"(2, 2)",False,
11.11.3,אחרי,אַחֲרֵי,אַֽחֲרֵי֙,,False,
11.11.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.11.5,את,אֶת,אֶת,"(1, 2)",False,
11.11.6,ארפכשד,אַרְפַּכְשָׁד,אַרְפַּכְשָׁ֔ד,"(2, 2)",False,
11.11.7,חמש,חֲמֵשׁ,חֲמֵ֥שׁ,,False,
11.11.8,מאות,מֵאוֹת,מֵא֖וֹת,,False,
11.11.9,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.11.10,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.11.11,בנים,בָּנִים,בָּנִ֖ים,,False,
11.11.12,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.12.1,וארפכשד,וְאַרְפַּכְשַׁד,וְאַרְפַּכְשַׁ֣ד,,False,
11.12.2,חי,חַי,חַ֔י,,False,
11.12.3,חמש,חָמֵשׁ,חָמֵ֥שׁ,,False,
11.12.4,ושלשים,וּשְׁלֹשִׁים,וּשְׁלֹשִׁ֖ים,,False,
11.12.5,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.12.6,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.12.7,את,אֶת,אֶת,"(1, 2)",False,
11.12.8,שלח,שָׁלַח׃,שָֽׁלַח׃,"(2, 2)",False,
11.13.1,ויחי,וַיְחִי,וַֽיְחִ֣י,,False,
11.13.2,ארפכשד,אַרְפַּכְשַׁד,אַרְפַּכְשַׁ֗ד,,False,
11.13.3,אחרי,אַחֲרֵי,אַֽחֲרֵי֙,,False,
11.13.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.13.5,את,אֶת,אֶת,"(1, 2)",False,
11.13.6,שלח,שֶׁלַח,שֶׁ֔לַח,"(2, 2)",False,
11.13.7,שלש,שָׁלֹשׁ,שָׁלֹ֣שׁ,,False,
11.13.8,שנים,שָׁנִים,שָׁנִ֔ים,,False,
11.13.9,וארבע,וְאַרְבַּע,וְאַרְבַּ֥ע,,False,
11.13.10,מאות,מֵאוֹת,מֵא֖וֹת,,False,
11.13.11,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.13.12,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.13.13,בנים,בָּנִים,בָּנִ֖ים,,False,
11.13.14,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.14.1,ושלח,וְשֶׁלַח,וְשֶׁ֥לַח,,False,
11.14.2,חי,חַי,חַ֖י,,False,
11.14.3,שלשים,שְׁלֹשִׁים,שְׁלֹשִׁ֣ים,,False,
11.14.4,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.14.5,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.14.6,את,אֶת,אֶת,"(1, 2)",False,
11.14.7,עבר,עֵבֶר׃,עֵֽבֶר׃,"(2, 2)",False,
11.15.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.15.2,שלח,שֶׁלַח,שֶׁ֗לַח,"(2, 2)",False,
11.15.3,אחרי,אַחֲרֵי,אַחֲרֵי֙,,False,
11.15.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.15.5,את,אֶת,אֶת,"(1, 2)",False,
11.15.6,עבר,עֵבֶר,עֵ֔בֶר,"(2, 2)",False,
11.15.7,שלש,שָׁלֹשׁ,שָׁלֹ֣שׁ,,False,
11.15.8,שנים,שָׁנִים,שָׁנִ֔ים,,False,
11.15.9,וארבע,וְאַרְבַּע,וְאַרְבַּ֥ע,,False,
11.15.10,מאות,מֵאוֹת,מֵא֖וֹת,,False,
11.15.11,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.15.12,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.15.13,בנים,בָּנִים,בָּנִ֖ים,,False,
11.15.14,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.16.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.16.2,עבר,עֵבֶר,עֵ֕בֶר,"(2, 2)",False,
11.16.3,ארבע,אַרְבַּע,אַרְבַּ֥ע,,False,
11.16.4,ושלשים,וּשְׁלֹשִׁים,וּשְׁלֹשִׁ֖ים,,False,
11.16.5,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.16.6,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.16.7,את,אֶת,אֶת,"(1, 2)",False,
11.16.8,פלג,פָּלֶג׃,פָּֽלֶג׃,"(2, 2)",False,
11.17.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.17.2,עבר,עֵבֶר,עֵ֗בֶר,"(2, 2)",False,
11.17.3,אחרי,אַחֲרֵי,אַחֲרֵי֙,,False,
11.17.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.17.5,את,אֶת,אֶת,"(1, 2)",False,
11.17.6,פלג,פֶּלֶג,פֶּ֔לֶג,"(2, 2)",False,
11.17.7,שלשים,שְׁלֹשִׁים,שְׁלֹשִׁ֣ים,,False,
11.17.8,שנה,שָׁנָה,שָׁנָ֔ה,,False,
11.17.9,וארבע,וְאַרְבַּע,וְאַרְבַּ֥ע,,False,
11.17.10,מאות,מֵאוֹת,מֵא֖וֹת,,False,
11.17.11,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.17.12,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.17.13,בנים,בָּנִים,בָּנִ֖ים,,False,
11.17.14,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.18.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.18.2,פלג,פֶלֶג,פֶ֖לֶג,"(2, 2)",False,
11.18.3,שלשים,שְׁלֹשִׁים,שְׁלֹשִׁ֣ים,,False,
11.18.4,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.18.5,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.18.6,את,אֶת,אֶת,"(1, 2)",False,
11.18.7,רעו,רְעוּ׃,רְעֽוּ׃,"(2, 2)",False,
11.19.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.19.2,פלג,פֶלֶג,פֶ֗לֶג,"(2, 2)",False,
11.19.3,אחרי,אַחֲרֵי,אַחֲרֵי֙,,False,
11.19.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.19.5,את,אֶת,אֶת,"(1, 2)",False,
11.19.6,רעו,רְעוּ,רְע֔וּ,"(2, 2)",False,
11.19.7,תשע,תֵּשַׁע,תֵּ֥שַׁע,,False,
11.19.8,שנים,שָׁנִים,שָׁנִ֖ים,,False,
11.19.9,ומאתים,וּמָאתַיִם,וּמָאתַ֣יִם,,False,
11.19.10,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.19.11,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.19.12,בנים,בָּנִים,בָּנִ֖ים,,False,
11.19.13,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.20.1,ויחי,וַיְחִי,וַיְחִ֣י,,False,
11.20.2,רעו,רְעוּ,רְע֔וּ,,False,
11.20.3,שתים,שְׁתַּיִם,שְׁתַּ֥יִם,,False,
11.20.4,ושלשים,וּשְׁלֹשִׁים,וּשְׁלֹשִׁ֖ים,,False,
11.20.5,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.20.6,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.20.7,את,אֶת,אֶת,"(1, 2)",False,
11.20.8,שרוג,שְׂרוּג׃,שְׂרֽוּג׃,"(2, 2)",False,
11.21.1,ויחי,וַיְחִי,וַיְחִ֣י,,False,
11.21.2,רעו,רְעוּ,רְע֗וּ,,False,
11.21.3,אחרי,אַחֲרֵי,אַחֲרֵי֙,,False,
11.21.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.21.5,את,אֶת,אֶת,"(1, 2)",False,
11.21.6,שרוג,שְׂרוּג,שְׂר֔וּג,"(2, 2)",False,
11.21.7,שבע,שֶׁבַע,שֶׁ֥בַע,,False,
11.21.8,שנים,שָׁנִים,שָׁנִ֖ים,,False,
11.21.9,ומאתים,וּמָאתַיִם,וּמָאתַ֣יִם,,False,
11.21.10,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.21.11,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.21.12,בנים,בָּנִים,בָּנִ֖ים,,False,
11.21.13,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.22.1,ויחי,וַיְחִי,וַיְחִ֥י,,False,
11.22.2,שרוג,שְׂרוּג,שְׂר֖וּג,,False,
11.22.3,שלשים,שְׁלֹשִׁים,שְׁלֹשִׁ֣ים,,False,
11.22.4,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.22.5,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.22.6,את,אֶת,אֶת,"(1, 2)",False,
11.22.7,נחור,נָחוֹר׃,נָחֽוֹר׃,"(2, 2)",False,
11.23.1,ויחי,וַיְחִי,וַיְחִ֣י,,False,
11.23.2,שרוג,שְׂרוּג,שְׂר֗וּג,,False,
11.23.3,אחרי,אַחֲרֵי,אַחֲרֵ֛י,,False,
11.23.4,הולידו,הוֹלִידוֹ,הוֹלִיד֥וֹ,,False,
11.23.5,את,אֶת,אֶת,"(1, 2)",False,
11.23.6,נחור,נָחוֹר,נָח֖וֹר,"(2, 2)",False,
11.23.7,מאתים,מָאתַיִם,מָאתַ֣יִם,,False,
11.23.8,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.23.9,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.23.10,בנים,בָּנִים,בָּנִ֖ים,,False,
11.23.11,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.24.1,ויחי,וַיְחִי,וַיְחִ֣י,,False,
11.24.2,נחור,נָחוֹר,נָח֔וֹר,,False,
11.24.3,תשע,תֵּשַׁע,תֵּ֥שַׁע,,False,
11.24.4,ועשרים,וְעֶשְׂרִים,וְעֶשְׂרִ֖ים,,False,
11.24.5,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.24.6,ויולד,וַיּוֹלֶד,וַיּ֖וֹלֶד,,False,
11.24.7,את,אֶת,אֶת,"(1, 2)",False,
11.24.8,תרח,תָּרַח׃,תָּֽרַח׃,"(2, 2)",False,
11.25.1,ויחי,וַיְחִי,וַיְחִ֣י,,False,
11.25.2,נחור,נָחוֹר,נָח֗וֹר,,False,
11.25.3,אחרי,אַחֲרֵי,אַחֲרֵי֙,,False,
11.25.4,הולידו,הוֹלִידוֹ,הוֹלִיד֣וֹ,,False,
11.25.5,את,אֶת,אֶת,"(1, 2)",False,
11.25.6,תרח,תֶּרַח,תֶּ֔רַח,"(2, 2)",False,
11.25.7,תשע,תְּשַׁע,תְּשַֽׁע,"(1, 2)",False,
11.25.8,עשרה,עֶשְׂרֵה,עֶשְׂרֵ֥ה,"(2, 2)",False,
11.25.9,שנה,שָׁנָה,שָׁנָ֖ה,,False,
11.25.10,ומאת,וּמְאַת,וּמְאַ֣ת,,False,
11.25.11,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.25.12,ויולד,וַיּוֹלֶד,וַיּ֥וֹלֶד,,False,
11.25.13,בנים,בָּנִים,בָּנִ֖ים,,False,
11.25.14,ובנות,וּבָנוֹת׃,וּבָנֽוֹת׃,,False,(ס)
11.26.1,ויחי,וַיְחִי,וַֽיְחִי,"(1, 2)",False,
11.26.2,תרח,תֶרַח,תֶ֖רַח,"(2, 2)",False,
11.26.3,שבעים,שִׁבְעִים,שִׁבְעִ֣ים,,False,
11.26.4,שנה,שָׁנָה,שָׁנָ֑ה,,False,
11.26.5,ויולד,וַיּוֹלֶד,וַיּ֙וֹלֶד֙,,False,
11.26.6,את,אֶת,אֶת,"(1, 2)",False,
11.26.7,אברם,אַבְרָם,אַבְרָ֔ם,"(2, 2)",False,
11.26.8,את,אֶת,אֶת,"(1, 2)",False,
11.26.9,נחור,נָחוֹר,נָח֖וֹר,"(2, 2)",False,
11.26.10,ואת,וְאֶת,וְאֶת,"(1, 2)",False,
11.26.11,הרן,הָרָן׃,הָרָֽן׃,"(2, 2)",False,
11.27.1,ואלה,וְאֵלֶּה,וְאֵ֙לֶּה֙,,False,
11.27.2,תולדת,תּוֹלְדֹת,תּוֹלְדֹ֣ת,,False,
11.27.3,תרח,תֶּרַח,תֶּ֔רַח,,False,
11.27.4,תרח,תֶּרַח,תֶּ֚רַח,,False,
11.27.5,הוליד,הוֹלִיד,הוֹלִ֣יד,,False,
11.27.6,את,אֶת,אֶת,"(1, 2)",False,
11.27.7,אברם,אַבְרָם,אַבְרָ֔ם,"(2, 2)",False,
11.27.8,את,אֶת,אֶת,"(1, 2)",False,
11.27.9,נחור,נָחוֹר,נָח֖וֹר,"(2, 2)",False,
11.27.10,ואת,וְאֶת,וְאֶת,"(1, 2)",False,
11.27.11,הרן,הָרָן,הָרָ֑ן,"(2, 2)",False,
11.27.12,והרן,וְהָרָן,וְהָרָ֖ן,,False,
11.27.13,הוליד,הוֹלִיד,הוֹלִ֥יד,,False,
11.27.14,את,אֶת,אֶת,"(1, 2)",False,
11.27.15,לוט,לוֹט׃,לֽוֹט׃,"(2, 2)",False,
11.28.1,וימת,וַיָּמָת,וַיָּ֣מָת,,False,
11.28.2,הרן,הָרָן,הָרָ֔ן,,False,
11.28.3,על,עַל,עַל,"(1, 2)",False,
11.28.4,פני,פְּנֵי,פְּנֵ֖י,"(2, 2)",False,
11.28.5,תרח,תֶּרַח,תֶּ֣רַח,,False,
11.28.6,אביו,אָבִיו,אָבִ֑יו,,False,
11.28.7,בארץ,בְּאֶרֶץ,בְּאֶ֥רֶץ,,False,
11.28.8,מולדתו,מוֹלַדְתּוֹ,מוֹלַדְתּ֖וֹ,,False,
11.28.9,באור,בְּאוּר,בְּא֥וּר,,False,
11.28.10,כשדים,כַּשְׂדִּים׃,כַּשְׂדִּֽים׃,,False,
11.29.1,ויקח,וַיִּקַּח,וַיִּקַּ֨ח,,False,
11.29.2,אברם,אַבְרָם,אַבְרָ֧ם,,False,
11.29.3,ונחור,וְנָחוֹר,וְנָח֛וֹר,,False,
11.29.4,להם,לָהֶם,לָהֶ֖ם,,False,
11.29.5,נשים,נָשִׁים,נָשִׁ֑ים,,False,
11.29.6,שם,שֵׁם,שֵׁ֤ם,,False,
11.29.7,אשת,אֵשֶׁת,אֵֽשֶׁת,"(1, 2)",False,
11.29.8,אברם,אַבְרָם,אַבְרָם֙,"(2, 2)",False,
11.29.9,שרי,שָׂרָי,שָׂרָ֔י,,False,
11.29.10,ושם,וְשֵׁם,וְשֵׁ֤ם,,False,
11.29.11,אשת,אֵשֶׁת,אֵֽשֶׁת,"(1, 2)",False,
11.29.12,נחור,נָחוֹר,נָחוֹר֙,"(2, 2)",False,
11.29.13,מלכה,מִלְכָּה,מִלְכָּ֔ה,,False,
11.29.14,בת,בַּת,בַּת,"(1, 2)",False,
11.29.15,הרן,הָרָן,הָרָ֥ן,"(2, 2)",False,
11.29.16,אבי,אֲבִי,אֲבִֽי,"(1, 2)",False,
11.29.17,מלכה,מִלְכָּה,מִלְכָּ֖ה,"(2, 2)",False,
11.29.18,ואבי,וַאֲבִי,וַֽאֲבִ֥י,,False,
11.29.19,יסכה,יִסְכָּה׃,יִסְכָּֽה׃,,False,
11.30.1,ותהי,וַתְּהִי,וַתְּהִ֥י,,False,
11.30.2,שרי,שָׂרַי,שָׂרַ֖י,,False,
11.30.3,עקרה,עֲקָרָה,עֲקָרָ֑ה,,False,
11.30.4,אין,אֵין,אֵ֥ין,,False,
11.30.5,לה,לָהּ,לָ֖הּ,,False,
11.30.6,ולד,וָלָד׃,וָלָֽד׃,,False,
11.31.1,ויקח,וַיִּקַּח,וַיִּקַּ֨ח,,False,
11.31.2,תרח,תֶּרַח,תֶּ֜רַח,,False,
11.31.3,את,אֶת,אֶת,"(1, 2)",False,
11.31.4,אברם,אַבְרָם,אַבְרָ֣ם,"(2, 2)",False,
11.31.5,בנו,בְּנוֹ,בְּנ֗וֹ,,False,
11.31.6,ואת,וְאֶת,וְאֶת,"(1, 2)",False,
11.31.7,לוט,לוֹט,ל֤וֹט,"(2, 2)",False,
11.31.8,בן,בֶּן,בֶּן,"(1, 2)",False,
11.31.9,הרן,הָרָן,הָרָן֙,"(2, 2)",False,
11.31.10,בן,בֶּן,בֶּן,"(1, 2)",False,
11.31.11,בנו,בְּנוֹ,בְּנ֔וֹ,"(2, 2)",False,
11.31.12,ואת,וְאֵת,וְאֵת֙,,False,
11.31.13,שרי,שָׂרַי,שָׂרַ֣י,,False,
11.31.14,כלתו,כַּלָּתוֹ,כַּלָּת֔וֹ,,False,
11.31.15,אשת,אֵשֶׁת,אֵ֖שֶׁת,,False,
11.31.16,אברם,אַבְרָם,אַבְרָ֣ם,,False,
11.31.17,בנו,בְּנוֹ,בְּנ֑וֹ,,False,
11.31.18,ויצאו,וַיֵּצְאוּ,וַיֵּצְא֨וּ,,False,
11.31.19,אתם,אִתָּם,אִתָּ֜ם,,False,
11.31.20,מאור,מֵאוּר,מֵא֣וּר,,False,
11.31.21,כשדים,כַּשְׂדִּים,כַּשְׂדִּ֗ים,,False,
11.31.22,ללכת,לָלֶכֶת,לָלֶ֙כֶת֙,,False,
11.31.23,ארצה,אַרְצָה,אַ֣רְצָה,,False,
11.31.24,כנען,כְּנַעַן,כְּנַ֔עַן,,False,
11.31.25,ויבאו,וַיָּבֹאוּ,וַיָּבֹ֥אוּ,,False,
11.31.26,עד,עַד,עַד,"(1, 2)",False,
11.31.27,חרן,חָרָן,חָרָ֖ן,"(2, 2)",False,
