idx,d0,d1,d2,maqaf,paseq,break
1.8.7,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.8.8,בקר,בֹקֶר,בֹ֖קֶר,"(2, 2)",False,
1.8.9,יום,יוֹם,י֥וֹם,,False,
1.8.10,שני,שֵׁנִי׃,שֵׁנִֽי׃,,False,(פ)
1.9.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
1.9.2,אלהים,אֱלֹהִים,אֱלֹהִ֗ים,,False,
1.9.3,יקוו,יִקָּווּ,יִקָּו֨וּ,,False,
1.9.4,המים,הַמַּיִם,הַמַּ֜יִם,,False,
1.9.5,מתחת,מִתַּחַת,מִתַּ֤חַת,,False,
1.9.6,השמים,הַשָּׁמַיִם,הַשָּׁמַ֙יִם֙,,False,
1.9.7,אל,אֶל,אֶל,"(1, 2)",False,
1.9.8,מקום,מָקוֹם,מָק֣וֹם,"(2, 2)",False,
1.9.9,אחד,אֶחָד,אֶחָ֔ד,,False,
1.9.10,ותראה,וְתֵרָאֶה,וְתֵרָאֶ֖ה,,False,
1.9.11,היבשה,הַיַּבָּשָׁה,הַיַּבָּשָׁ֑ה,,False,
1.9.12,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.9.13,כן,כֵן׃,כֵֽן׃,"(2, 2)",False,
1.10.1,ויקרא,וַיִּקְרָא,וַיִּקְרָ֨א,,False,
1.10.2,אלהים,אֱלֹהִים,אֱלֹהִ֤ים,,True,
1.10.3,ליבשה,לַיַּבָּשָׁה,לַיַּבָּשָׁה֙,,False,
1.10.4,ארץ,אֶרֶץ,אֶ֔רֶץ,,False,
1.10.5,ולמקוה,וּלְמִקְוֵה,וּלְמִקְוֵ֥ה,,False,
1.10.6,המים,הַמַּיִם,הַמַּ֖יִם,,False,
1.10.7,קרא,קָרָא,קָרָ֣א,,False,
1.10.8,ימים,יַמִּים,יַמִּ֑ים,,False,
1.10.9,וירא,וַיַּרְא,וַיַּ֥רְא,,False,
1.10.10,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.10.11,כי,כִּי,כִּי,"(1, 2)",False,
1.10.12,טוב,טוֹב׃,טֽוֹב׃,"(2, 2)",False,
1.11.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
1.11.2,אלהים,אֱלֹהִים,אֱלֹהִ֗ים,,False,
1.11.3,תדשא,תַּדְשֵׁא,תַּֽדְשֵׁ֤א,,False,
1.11.4,הארץ,הָאָרֶץ,הָאָ֙רֶץ֙,,False,
1.11.5,דשא,דֶּשֶׁא,דֶּ֔שֶׁא,,False,
1.11.6,עשב,עֵשֶׂב,עֵ֚שֶׂב,,False,
1.11.7,מזריע,מַזְרִיעַ,מַזְרִ֣יעַ,,False,
1.11.8,זרע,זֶרַע,זֶ֔רַע,,False,
1.11.9,עץ,עֵץ,עֵ֣ץ,,False,
1.11.10,פרי,פְּרִי,פְּרִ֞י,,False,
1.11.11,עשה,עֹשֶׂה,עֹ֤שֶׂה,,False,
1.11.12,פרי,פְּרִי,פְּרִי֙,,False,
1.11.13,למינו,לְמִינוֹ,לְמִינ֔וֹ,,False,
1.11.14,אשר,אֲשֶׁר,אֲשֶׁ֥ר,,False,
1.11.15,זרעו,זַרְעוֹ,זַרְעוֹ,"(1, 2)",False,
1.11.16,בו,בוֹ,ב֖וֹ,"(2, 2)",False,
1.11.17,על,עַל,עַל,"(1, 2)",False,
1.11.18,הארץ,הָאָרֶץ,הָאָ֑רֶץ,"(2, 2)",False,
1.11.19,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.11.20,כן,כֵן׃,כֵֽן׃,"(2, 2)",False,
1.12.1,ותוצא,וַתּוֹצֵא,וַתּוֹצֵ֨א,,False,
1.12.2,הארץ,הָאָרֶץ,הָאָ֜רֶץ,,False,
1.12.3,דשא,דֶּשֶׁא,דֶּ֠שֶׁא,,False,
1.12.4,עשב,עֵשֶׂב,עֵ֣שֶׂב,,False,
